Wall time,Step,Value
1754925506.9932518,1132,10.818032264709473
1754926388.5288634,5295,9.428938865661621
1754926422.1141083,5454,9.390203475952148
1754926501.9652274,5832,9.183993339538574
1754926536.7965832,5997,9.052166938781738
1754926548.7890954,6053,9.067538261413574
1754926596.8127341,6279,8.937097549438477
1754926608.5776825,6334,8.935664176940918
1754926886.5061536,7644,8.448647499084473
1754927023.145997,8291,8.273917198181152
1754927108.001729,8694,8.145421981811523
1754927226.1786642,9252,8.145179748535156
1754927323.8471653,9712,8.119161605834961
1754927425.5283005,10191,8.094581604003906
1754927479.219968,10445,8.067977905273438
1754927521.5407176,10645,8.15781021118164
1754927814.1416762,12027,8.043111801147461
1754927882.963347,12354,8.002389907836914
1754927908.5613053,12476,7.982431888580322
1754928129.499512,13522,7.964580059051514
1754928366.9829438,14645,7.913031101226807
1754928836.495372,16866,7.858719348907471
1754929356.4414797,19319,7.642142295837402
1754929394.784209,19501,7.708615303039551
1754929631.2412963,20618,7.812164306640625
1754929678.7347033,20841,7.702635765075684
1754929958.8515553,22162,7.613626003265381
1754930448.2367368,24469,7.663386344909668
1754930559.0606754,24991,7.592435359954834
1754931048.887881,27308,7.624256134033203
1754931172.5476637,27894,7.503233432769775
1754931196.3212676,28006,7.610993385314941
1754931472.6379783,29310,7.490358352661133
1754931510.651297,29490,7.521826267242432
1754931526.4118798,29565,7.475262641906738
1754931541.3870351,29636,7.5300469398498535
1754931681.875583,30300,7.493564128875732
1754932044.1118267,32014,7.395780563354492
1754932400.864295,33701,7.252409934997559
1754932435.197568,33864,7.401059150695801
1754932704.4636178,35140,7.334521293640137
1754932775.4801261,35477,7.202444076538086
1754932823.4095025,35704,7.274630546569824
1754932867.5765033,35913,7.117401123046875
1754933032.1920223,36694,7.260519504547119
1754933096.041018,36996,7.074252605438232
1754933110.8977404,37065,7.148519039154053
1754933389.660015,38386,7.232954025268555
1754933478.0497131,38805,7.170984268188477
1754933524.5951493,39025,7.1952314376831055
1754933643.803895,39588,7.079692840576172
1754933780.9713376,40236,7.153882026672363
1754933844.8236399,40540,7.017514228820801
1754933861.1721344,40617,6.984731674194336
1754933930.2550085,40942,6.965614318847656
1754934181.531783,42131,7.208148002624512
1754934251.2188103,42461,7.218201160430908
1754934266.900869,42535,7.029750823974609
1754934414.0510578,43231,7.083747386932373
1754934631.2162144,44255,6.848185062408447
1754934727.5608487,44711,6.871316909790039
1754934731.5639331,44730,7.049027919769287
